Team_Name,Email,TT_ID,CORE_ID,SN_ID,MOD_ID,Name_Surname,Joining_date,Floorstart_date,FTE,Title,First_Name,Last_Name,External_Email_Address,Reason_For_Leave,No_longer_working,Leaving_Date,Long_Leave_End_Date,Team_Code,Slack_Access,Agents_TL,Primary_Specialisation,Secondary_Specialisation,Third_Specialisation,HVV,Esc_Agent,Esc_Type,Market/Block,Tenured,Ticketron_link,Vinted_Link,Language_Certificate,First_Language,Second_Language,Email--dublicate,Offboarding_check,Additional_Comments,Language,Site,Partner,Tenured_Value,New_Hire
PT PT TWW,name.surname@vinted.com,561,1914827,SN49307,4784,Name Surname,2021-05-24,2021-06-07,MGMT,QL,Name,Surname,name.surname@transcom.com,,FALSE,,,05.05.10.01,TRUE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,TRUE,E_Specialisation,,2021-08-02,https://desk.vinted.net/agents/561,https://www.vinted.fr/member/1914827,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name1.surname1@vinted.com,717,1100017,SN49969,2415,Name1 Surname1,2021-11-15,2021-11-29,1.00,CSR,Name1,Surname1,name1.surname1@transcom.com,,FALSE,,,05.05.10.01,FALSE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,TRUE,F_Specialisation,PT,2022-01-24,https://desk.vinted.net/agents/717,https://www.vinted.fr/member/1100017,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name2.surname2@vinted.com,670,8122659,SN48247,8055,Name2 Surname2,2021-11-15,2021-11-29,1.00,SCSR,Name2,Surname2,name2.surname2@transcom.com,,FALSE,,,05.05.10.01,TRUE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,TRUE,F_Specialisation,PT,2022-01-24,https://desk.vinted.net/agents/670,https://www.vinted.fr/member/8122659,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name3.surname3@vinted.com,802,10690156,SN37502,6620,Name3 Surname3,2022-01-17,2022-01-31,1.00,CSR,Name3,Surname3,name3.surname3@transcom.com,,FALSE,,,05.05.10.01,TRUE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,TRUE,E_Specialisation,PT,2022-03-28,https://desk.vinted.net/agents/802,https://www.vinted.fr/member/10690156,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name4.surname4@vinted.com,226,3518152,SN44847,6380,Name4 Surname4,2022-01-17,2022-01-31,1.00,CSR,Name4,Surname4,name4.surname4@transcom.com,,FALSE,,,05.05.10.01,FALSE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,,,PT,2022-03-28,https://desk.vinted.net/agents/226,https://www.vinted.fr/member/3518152,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name5.surname5@vinted.com,743,8028157,SN67225,4715,Name5 Surname5,2022-01-17,2022-01-31,1.00,CSR,Name5,Surname5,name5.surname5@transcom.com,,FALSE,,,05.05.10.01,FALSE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,,,PT,2022-03-28,https://desk.vinted.net/agents/743,https://www.vinted.fr/member/8028157,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name6.surname6@vinted.com,267,1369243,SN90045,6596,Name6 Surname6,2023-09-11,2023-09-26,1.00,CSR,Name6,Surname6,name6.surname6@transcom.com,,FALSE,,,05.05.10.01,FALSE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,,,PT,2023-11-21,https://desk.vinted.net/agents/267,https://www.vinted.fr/member/1369243,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name7.surname7@vinted.com,833,3090678,SN60959,8323,Name7 Surname7,2023-09-11,2023-09-26,1.00,SCSR,Name7,Surname7,name7.surname7@transcom.com,,FALSE,,,05.05.10.01,TRUE,name8.surname8@vinted.com,E_Specialisation,F_Specialisation,,TRUE,TRUE,F_Specialisation,PT,2023-11-21,https://desk.vinted.net/agents/833,https://www.vinted.fr/member/3090678,FALSE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name8.surname8@vinted.com,97,9117630,SN57201,9876,Name8 Surname8,2022-09-19,2022-09-30,MGMT,TL,Name8,Surname8,name8.surname8@transcom.com,,FALSE,,,05.05.10.01,TRUE,,,,,,,,,2022-11-25,https://desk.vinted.net/agents/97,https://www.vinted.fr/member/9117630,FALSE,PT_C2,EN_C2,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
PT PT TWW,name9.surname9@vinted.com,892,6535116,SN70038,9202,Name9 Surname9,2020-02-17,2020-02-27,MGMT,BM,Name9,Surname9,name9.surname9@transcom.com,Voluntery,TRUE,2025-07-12,,05.05.10.01,TRUE,,,,,,,,,2020-04-23,https://desk.vinted.net/agents/892,https://www.vinted.fr/member/6535116,TRUE,PT_C2,EN_B1,FALSE,FALSE,,PT,PT,TWW,TRUE,FALSE
